name;wmo_id;alamat;wigos_id;latitude;longitude;elevation_m;region_desc;provinsi_name;kabupaten_name;type_MeteorologiKlimatologiGeofisika;time_zone
Stasiun Pemantau Atmosfer Global Lore Lindu Bariri;97094;;;5.20483;96.66624;7;Region I;Aceh;Kab. Bireuen;Klimatologi;8
Stasiun Meteorologi Kasiguncu;97096;;;5.51416;95.4241;0;Region I;Aceh;Kab. Aceh Besar;Meteorologi;8
Stasiun Meteorologi Tampa Padang;97116;;;-2.58939;119.02949;0;Region IV;Sulawesi Barat;Kab. Mamuju;Meteorologi;8
Stasiun Meteorologi Majene;97120;;;-3.55074;118.98054;29;Region IV;Sulawesi Barat;Kab. Majene;Meteorologi;8
Stasiun Meteorologi Toraja;97124;;;-6.7553;108.53904;23;Region II;Jawa Barat;Kab. Cirebon;Meteorologi;8
Stasiun Meteorologi Andi Jemma;97126;;;-2.55472;120.32422;43;Region IV;Sulawesi Selatan;Kab. Luwu Utara;Meteorologi;8
Stasiun Meteorologi Sangia Ni Bandera;97142;;;-7.90746;110.05448;7;Region II;DI Yogyakarta;Kab. Kulon Progo;Meteorologi;8
Stasiun Meteorologi Maritim Kendari;97144;;;-3.9701;122.5895;2;Region IV;Sulawesi Tenggara;Kota Kendari;Meteorologi;8
Haluoleo TNIAU;97146;;;0;0;0;Region I;Aceh;Kab. Aceh Singkil;Meteorologi;8
Stasiun Geofisika Kendari;97148;;;-2.58939;119.02949;0;Region IV;Sulawesi Barat;Kab. Mamuju;Geofisika;8
Stasiun Klimatologi Sulawesi Tenggara;97150;;;2.53;97.94;36;Region I;Aceh;Kab. Aceh Singkil;Klimatologi;8
Stasiun Meteorologi Sultan Hasanuddin;97180;;;5.31158;96.01857;8;Region I;Aceh;Kab. Pidie;Meteorologi;8
Stasiun Meteorologi Maritim Paotere;97182;;;3.5437;108.2305;2;Region I;Kepulauan Riau;Kab. Natuna;Meteorologi;8
Stasiun Klimatologi Sulawesi Selatan;97184;;0-20000-0-97184;5.37819;95.93594;5;Region I;Aceh;Kab. Pidie;Klimatologi;8
Stasiun Geofisika Gowa;97186;;;1;109;97;Region II;Kalimantan Barat;Kab. Bengkayang;Geofisika;8
Stasiun Meteorologi Beto Ambari;97192;;;-5.47;122.62;35;Region IV;Sulawesi Tenggara;Kota Bau Bau;Meteorologi;8
Stasiun Meteorologi I Gusti Ngurah Rai;97230;;;-6.544456;106.755346;176.784;Region II;Jawa Barat;Kab. Bogor;Meteorologi;8
Stasiun Geofisika Denpasar;97232;;;-8.67689;115.21;15;Region III;Bali;Kota Denpasar;Geofisika;8
Pos Pengamatan Kahang-Kahang;97234;;;-6.90227;107.57627;746.76;Region II;Jawa Barat;Kota Bandung;Geofisika;8
Stasiun Klimatologi Bali;97236;;0-20000-0-97236;0;0;0;Region II;Jawa Barat;Kab. Bandung;Klimatologi;8
Stasiun Meteorologi Zainuddin Abdul Madjid;97240;;;-7.519583;110.75175;127;Region II;Jawa Tengah;Kab. Karanganyar;Meteorologi;8
Stasiun Klimatologi Nusa Tenggara Barat;97242;;0-20000-0-97242;-8.63627;116.17094;55;Region III;Nusa Tenggara Barat;Kab. Lombok Barat;Klimatologi;8
Stasiun Geofisika Alor;97247;;;-8.144692;124.590197;16;Region III;Nusa Tenggara Timur;Kab. Alor;Geofisika;8
Stasiun Meteorologi Sultan Muhammad Kaharuddin;97260;;0-20000-0-97260;-8.48845;117.41336;3.048;Region III;Nusa Tenggara Barat;Kab. Sumbawa;Meteorologi;8
Stasiun Meteorologi Sultan Muhammad Salahuddin;97270;;;-8.539026693;118.6895538;1.3;Region III;Nusa Tenggara Barat;Kota Bima;Meteorologi;8
Stasiun Meteorologi Komodo;97282;;;-4.435;122.2512;50;Region IV;Sulawesi Tenggara;Kab. Konawe Selatan;Meteorologi;8
Stasiun Meteorologi Frans Sales Lega;97284;;;-8.63;120.45;1070;Region III;Nusa Tenggara Timur;Kab. Manggarai;Meteorologi;8
Stasiun Meteorologi Fransiskus Xaverius Seda;97300;;;4.0071351;126.6747032;0;Region IV;Sulawesi Utara;Kab. Kepulauan Talaud;Meteorologi;8
Stasiun Meteorologi Gewayantana;97310;;;5.22047;95.85882;99;Region I;Aceh;Kab. Pidie;Meteorologi;7
Stasiun Meteorologi Mali;97320;;;-8.246193;113.694912;264;Region III;Jawa Timur;Kab. Jember;Meteorologi;8
Stasiun Meteorologi Umbu Mehang Kunda;97340;;;-9.66944;120.29972;10;Region III;Nusa Tenggara Timur;Kab. Sumba Timur;Meteorologi;8
Stasiun Geofisika Sumba Timur;97342;;;3.55916;98.67111;27;Region I;Sumatera Utara;Kota Medan;Geofisika;8
Stasiun Meteorologi Maritim Tenau;97370;;;1.46977;109.22;2;Region II;Kalimantan Barat;Kab. Sambas;Meteorologi;8
Stasiun Meteorologi Eltari;97372;;;5.13068;97.42876;10;Region I;Aceh;Kab. Aceh Utara;Meteorologi;8
Stasiun Klimatologi Nusa Tenggara Timur;97374;;20000-0-1-97374;5.2338;95.91185;44;Region I;Aceh;Kab. Pidie;Klimatologi;8
Stasiun Geofisika Kupang;97376;;;-7.6439066;109.0354614;21;Region II;Jawa Tengah;Kab. Cilacap;Geofisika;7
Stasiun Meteorologi David Constatijn Saudale;97378;;;5.098;97.069;49;Region I;Aceh;Kab. Aceh Utara;Meteorologi;8
Stasiun Meteorologi Tardamu;97380;;;5.0595;97.33926;3;Region I;Aceh;Kab. Aceh Utara;Meteorologi;8
Leowatimena TNIAU;97404;;;0;0;0;Region IV;Sulawesi Selatan;Kab. Luwu Timur;Meteorologi;9
Stasiun Meteorologi Gamar Malamo;97406;;;1.84092;127.7905;130;Region IV;Maluku Utara;Kab. Halmahera Utara;Meteorologi;7
Pos Meteorologi Kao;97410;;;0;0;0;Region V;Papua Barat;Kab. Kaimana;Meteorologi;8
Stasiun Meteorologi Sultan Babullah;97430;;;0;0;0;Region III;Nusa Tenggara Timur;Kab. Ende;Meteorologi;9
Stasiun Geofisika Ternate;97432;;;5.2286;96.94713;32;Region I;Aceh;Kab. Aceh Utara;Geofisika;9
Stasiun Meteorologi Oesman Sadik;97460;;;0;0;0;Region I;Aceh;Kab. Aceh Barat Daya;Meteorologi;9
Stasiun Pemantau Atmosfer Global Puncak Vihara Klademak;97500;;;0;0;0;Region IV;Gorontalo;Kab. Pohuwato;Klimatologi;9
Stasiun Meteorologi Domine Eduard Osok;97502;;;0;0;0;Region I;Aceh;Kab. Simeulue;Meteorologi;9
Stasiun Geofisika Sorong;97504;;0-20000-0-97504;2.37263;97.97475;28;Region I;Aceh;Kab. Aceh Singkil;Geofisika;9
Stasiun Meteorologi Rendani;97530;;;0;0;0;Region I;Aceh;Kab. Aceh Tenggara;Meteorologi;7
Stasiun Meteorologi Frans Kaisiepo;97560;;0-20000-0-97560;5.09273;97.24998;7;Region I;Aceh;Kab. Aceh Utara;Meteorologi;9
Stasiun Meteorologi Sudjarwo Tjondronegoro;97570;;;0;0;0;Region I;Riau;Kota Dumai;Meteorologi;9
Stasiun Meteorologi Mararena;97580;;;-1.85;138.75;3;Region V;Papua;Kab. Sarmi;Meteorologi;9
Stasiun Meteorologi Emalamo;97600;;;5.13018;97.24741;5;Region I;Aceh;Kab. Aceh Utara;Meteorologi;9
Stasiun Meteorologi Torea;97630;;;-2.91938;132.26496;126;Region V;Papua Barat;Kab. Fak Fak;Meteorologi;9
Stasiun Meteorologi Nabire;97682;;0-20000-0-97682;-3.39712;135.39171;3;Region V;Papua;Kab. Nabire;Meteorologi;9
Stasiun Meteorologi Wamena;97686;;;0;0;0;Region V;Papua;Kab. Mappi;Meteorologi;9
Stasiun Meteorologi Sentani;97690;;;0;0;0;Region V;Papua;Kab. Merauke;Meteorologi;9
Stasiun Klimatologi Papua;97692;;0-20000-0-97692;0;0;0;Region IV;Maluku;Kab. Maluku Barat Daya;Klimatologi;9
Stasiun Klimatologi Papua Barat;97694;;;4.95;97.432;63;Region I;Aceh;Kab. Aceh Utara;Klimatologi;9
Stasiun Geofisika Jayapura;97696;;;0;0;0;Region V;Papua;Kab. Deiyai;Geofisika;9
Stasiun Meteorologi Maritim Dok II Jayapura;97698;;;4.928;97.37;27;Region I;Aceh;Kab. Aceh Utara;Meteorologi;9
Stasiun Meteorologi Namlea;97700;;;0;0;0;Region V;Papua;Kab. Puncak;Meteorologi;9
Stasiun Meteorologi Amahai;97722;;;0;0;0;Region V;Papua;Kab. Keerom;Meteorologi;9
Stasiun Meteorologi Pattimura;97724;;;-3.7114;128.0957;14;Region IV;Maluku;Kota Ambon;Meteorologi;9
Stasiun Klimatologi Maluku;97726;;;-3.25;128.4;5;Region IV;Maluku;Kab. Seram Bagian Barat;Klimatologi;9
Stasiun Geofisika Ambon;97728;;;5.07257;97.25677;9;Region I;Aceh;Kab. Aceh Utara;Geofisika;9
Stasiun Meteorologi Maritim Ambon;97730;;;-3.79051;128.1007;3;Region IV;Maluku;Kota Ambon;Meteorologi;9
Stasiun Meteorologi Kuffar;97748;;;-3.8813;130.88;2;Region IV;Maluku;Kab. Seram Bagian Timur;Meteorologi;9
Stasiun Meteorologi Utarom;97760;;;-3.6433;133.69694;5;Region V;Papua Barat;Kab. Kaimana;Meteorologi;9
Stasiun Meteorologi Enarotali;97780;;;-3.92688;136.38;1650;Region V;Papua;Kab. Paniai;Meteorologi;9
Stasiun Meteorologi Bandaneira;97790;;;0;0;0;Region I;Sumatera Barat;Kab. Kepulauan Mentawai;Meteorologi;9
Stasiun Meteorologi Mozez Kilangin;97796;;;0;0;0;Region II;Bengkulu;Kab. Muko Muko;Meteorologi;9
Stasiun Meteorologi Karel Sadsuitubun;97810;;;-5.6637;132.7362;10;Region IV;Maluku;Kab. Maluku Tenggara;Meteorologi;9
Stasiun Geofisika Nabire;97812;;;5.07538;96.94248;407;Region I;Aceh;Kab. Aceh Utara;Klimatologi;9
