name;station_id;address;wigos_id;latitude;longitude;elevation;region;province;regency;type_id;time_zone
Stasiun Meteorologi Aek Godang;96071;Bandara Aek Godang Jl. Aek Godang Sibuhuan Km. 1,5 Aek Godang – Batangonang Padang Lawas Utara;;4.98;97.7;15;Region I;Aceh;Kab. Aceh Timur;1;UTC+07:00
Stasiun Meteorologi FL Tobing;96073;Bandara DR. Ferdinand Lumbantobing, Jl. Ahmad Yani Pinangsori, Kel. Pinangsori, Kec. Pinangsori Kab. Tapanuli Tengah;;0.45924;101.44743;39;Region I;Riau;Kota Pekanbaru;1;UTC+07:00
Stasiun Meteorologi Binaka;96075;Jl. Pelabuhan Udara Binaka Km.19,7 Kecamatan Gunungsitoli Idanoi, kota Gunungsitoli - Nias;;3.2;106.25;2;Region I;Kepulauan Riau;Kab. Kepulauan Anambas;1;UTC+07:00
Stasiun Geofisika Gunungsitoli;96077;Jl. Ke Alasa-Meteorologi, Dusun III, Ds. Onowaembo, Kota Gunungsitoli, Sumatera Utara;;-0.79355;100.28917;6;Region I;Sumatera Barat;Kab. Padang Pariaman;3;UTC+07:00
Stasiun Meteorologi Hang Nadim;96087;Jl. Hang Nadim, Batu Besar, Batam;;1.11667;104.11667;26;Region I;Kepulauan Riau;Kota Batam;1;UTC+07:00
Stasiun Meteorologi Raja Haji Abdullah;96089;Jl. Mayjen Sutoyo Km. 12 Komplek Bandar Udara Raja Haji Abdullah Tangjung Balai Karimun;;4.59;97.53;204;Region I;Aceh;Kab. Aceh Timur;1;UTC+07:00
Stasiun Meteorologi Raja Haji Fisabilillah;96091;Komp. Perkantoran Bandar Udara Raja Haji Fisabilillah Tanjungpinang Kepulauan Riau;;-1.635166;103.6453;27;Region II;Jambi;Kota Jambi;1;UTC+07:00
Stasiun Klimatologi Riau;96107;Jl. Unggas, Simpang Tiga, Kec. Bukit Raya, Kota Pekanbaru, Riau;;2.4772;98.03962;89;Region I;Aceh;Kab. Aceh Singkil;2;UTC+07:00
Stasiun Meteorologi Sultan Syarif Kasim II;96109;Bandar Udara Sultan Syarif Kasim II Pekanbaru;;0.45924;101.44743;39;Region I;Riau;Kota Pekanbaru;1;UTC+07:00
Stasiun Meteorologi Tarempa;96145;Jl. Hang Tuah No.10 Tarempa;0-20000-0-96145;3.2;106.25;2;Region I;Kepulauan Riau;Kab. Kepulauan Anambas;1;UTC+07:00
Stasiun Meteorologi Maritim Natuna;96147;Jl. Adi Sucipto No.147 Ranai;0-20000-0-96147;4.60019;97.89607;6;Region I;Aceh;Kab. Aceh Timur;1;UTC+07:00
Raden Sadjad TNIAU;96149;;;5.15951;96.8154;16;Region I;Aceh;Kab. Bireuen;1;UTC+07:00
Stasiun Meteorologi Maritim Teluk Bayur;96161;Jl. Sutan Syahrir Komplek Pelindo Nomor 26 Rawang, Mata Air, Padang, Sumatera Barat;;-0.99639;100.37222;2;Region I;Sumatera Barat;Kota Padang;1;UTC+07:00
Stasiun Meteorologi Minangkabau;96163;Jl. Mr. H. St. Moh. Rasyid, Talao Mundam, Nagari Katapiang Kec. Batang Anai, Kab. Padang Pariaman, Sumatera Barat;;-0.79355;100.28917;6;Region I;Sumatera Barat;Kab. Padang Pariaman;1;UTC+07:00
Stasiun Geofisika Padang Panjang;96165;Jl. Meteorologi, Silaing Bawah, Kec. Padang Panjang Barat, Kota Padang Panjang, Sumatera Barat;;5.05253;97.51814;15;Region I;Aceh;Kab. Aceh Timur;3;UTC+07:00
Stasiun Klimatologi Sumatera Barat;96167;Jl. Raya Padang-Bukit tinggi Km. 51 Kapalo Hilalang Kec. Kayu Tanam Kab. Padang Pariaman;;5.168;97.501;7;Region I;Aceh;Kab. Aceh Timur;2;UTC+07:00
Stasiun Pemantau Atmosfer Global Bukit Koto Tabang;96169;Jl. Raya Bukittinggi - Medan Km. 15, Palupuh, Kabupaten Agam, Sumatera Barat;;-0.42;111.47;40;Region II;Kalimantan Barat;Kab. Melawi;2;UTC+07:00
Stasiun Meteorologi Kelas II Japura Indragiri Hulu;96171;Jl. Lintas Timur, Sidomulyo, Kec. Lirik, Kab. Indragiri Hulu, Riau;;4.84;97.59;0;Region I;Aceh;Kab. Aceh Timur;1;UTC+07:00
